,WholeTumor,TumorCore,EnhancingTumor
Brats17_TCIA_335_1,0.36788068734464496,0.29797832595850665,0.2290711911841875
Brats17_TCIA_338_1,0.07319830428638718,0.03832033042680129,0.018709995076317085
Brats17_TCIA_361_1,0.0,0.0,0.0
Brats17_TCIA_370_1,0.0,0.0,0.0
Brats17_TCIA_372_1,0.44621261485303,0.29793407850910353,0.19303901572471874
Brats17_TCIA_374_1,0.3979916641752985,0.2072167871827591,0.1021310181531176
Brats17_TCIA_375_1,0.03492373779270807,0.01530298403763348,0.014872262773722628
Brats17_TCIA_390_1,0.34994758410368815,0.017580872011251757,0.010878749471905366
Brats17_TCIA_396_1,0.0014648265151247749,0.0004240087562738505,0.0
Brats17_TCIA_406_1,0.0,0.0,0.0
Brats17_TCIA_409_1,0.0,0.0,0.0
Brats17_TCIA_412_1,0.20507298777047592,0.13047393049610786,0.07403448436120277
Brats17_TCIA_419_1,0.35612518423388867,0.24120043724535425,0.054490949796987063
Brats17_TCIA_266_1,0.00720338530637521,0.007153563405418678,0.0
Brats17_TCIA_276_1,0.267457339949171,0.24214495182237117,0.0
Brats17_TCIA_298_1,0.2864206424571859,0.26949584005960514,0.0
Brats17_TCIA_299_1,0.0,0.0,0.0
Brats17_TCIA_387_1,0.305686568764069,0.14880416291403983,0.0
Brats17_TCIA_393_1,0.44967523824735134,0.4829257705107799,0.0
Brats17_TCIA_410_1,0.17036062765729668,0.08329739651086124,0.024708724503837803
Brats17_TCIA_413_1,0.1459389973121421,0.0066857688634192934,0.0
Brats17_TCIA_420_1,0.047687544188994804,0.027989732409719047,0.0
Brats17_TCIA_428_1,0.0,0.0,0.0
Brats17_TCIA_442_1,0.32751432605265346,0.24192,0.003789929615592853
Brats17_TCIA_449_1,0.035827270481548476,0.024345855083014154,0.004154384249996181
Brats17_TCIA_462_1,0.0032298733475831184,0.000899847026005579,0.0
Brats17_TCIA_466_1,8.819065408362415e-06,1.3065405419530168e-05,0.0
Brats17_TCIA_493_1,0.0,0.0,0.0
Brats17_TCIA_618_1,0.003351785079477934,0.0,0.0
Brats17_TCIA_620_1,0.0,0.0,0.0
Brats17_TCIA_623_1,0.2167942238267148,0.13019699507409435,2.99549178486378e-05
Brats17_TCIA_624_1,0.4166512847913732,0.06891825746451297,0.06260906350801121
Brats17_TCIA_625_1,0.010259753596330985,0.004456695075457551,0.0
Brats17_TCIA_628_1,0.21190971315995522,0.2049217722673966,0.0
Brats17_TCIA_630_1,0.17925529967414786,0.06559038097811402,0.0
Brats17_TCIA_634_1,0.33759959909797044,0.30897551248692945,0.0
Brats17_TCIA_639_1,0.19799542463051542,0.13591181130409294,0.0
Brats17_TCIA_640_1,0.042629188181853475,0.009207438165733887,0.0
Brats17_TCIA_642_1,0.43123566229573196,0.2877435614384054,0.0
Brats17_TCIA_650_1,0.0,0.0,0.0
Brats17_TCIA_653_1,0.0011003566389555044,0.0001246887365730401,0.0
